Installed Packages
db4-devel.i386                           4.6.21-2.fc8           installed       
dbus.i386                                1.1.2-9.fc8            installed       
dbus-devel.i386                          1.1.2-9.fc8            installed       
dbus-glib.i386                           0.73-8.fc8             installed       
dbus-glib-devel.i386                     0.73-8.fc8             installed       
dbus-libs.i386                           1.1.2-9.fc8            installed       
dbus-python.i386                         0.82.0-2.fc8           installed       
dbus-x11.i386                            1.1.2-9.fc8            installed       
dcraw.i386                               8.80-1.fc8             installed       
dejavu-lgc-fonts.noarch                  2.19-1                 installed       
desktop-backgrounds-basic.noarch         7.92-8                 installed       
desktop-file-utils.i386                  0.13-3.fc8             installed       
devhelp.i386                             0.16.1-9.fc8           installed       
device-mapper.i386                       1.02.22-1.fc8          installed       
device-mapper-devel.i386                 1.02.22-1.fc8          installed       
device-mapper-libs.i386                  1.02.22-1.fc8          installed       
device-mapper-multipath.i386             0.4.7-11.fc7           installed       
dhclient.i386                            12:3.0.6-12.fc8        installed       
dhcpv6-client.i386                       0.10-52.fc8            installed       
dialog.i386                              1.1-2.20070704.fc8     installed       
diffstat.i386                            1.43-6.fc8             installed       
diffutils.i386                           2.8.1-19.fc8           installed       
distcache.i386                           1.4.5-15               installed       
dmidecode.i386                           1:2.7-1.26.1.fc6       installed       
dmraid.i386                              1.0.0.rc14-4.fc8       installed       
dnsmasq.i386                             2.40-1.fc8             installed       
docbook-dtds.noarch                      1.0-33.fc8             installed       
docbook-simple.noarch                    1.1-1.02.fc8           installed       
docbook-slides.noarch                    3.4.0-1.02.fc8         installed       
docbook-style-dsssl.noarch               1.79-4.1               installed       
docbook-style-xsl.noarch                 1.73.2-5.fc8           installed       
docbook-utils.noarch                     0.6.14-11.fc8          installed       
docbook-utils-pdf.noarch                 0.6.14-11.fc8          installed       
dom4j.noarch                             1.6.1-2jpp.3.fc8       installed       
dos2unix.i386                            3.1-29.fc8             installed       
dosfstools.i386                          2.11-8.fc7             installed       
doxygen.i386                             1:1.5.6-1.fc8          installed       
dtdparser.i386                           1.21-3jpp.2.fc7        installed       
dump.i386                                0.4b41-6.fc8           installed       
dvd+rw-tools.i386                        7.0-7.fc8              installed       
e2fsprogs.i386                           1.40.4-2.fc8           installed       
e2fsprogs-devel.i386                     1.40.4-2.fc8           installed       
e2fsprogs-libs.i386                      1.40.4-2.fc8           installed       
eclipse-cdt.i386                         1:4.0.1-3.fc8          installed       
eclipse-changelog.i386                   1:2.6.2-1.fc8          installed       
eclipse-cvs-client.i386                  1:3.3.0-31.fc8         installed       
eclipse-ecj.i386                         1:3.3.0-31.fc8         installed       
eclipse-jdt.i386                         1:3.3.0-31.fc8         installed       
eclipse-mylyn.i386                       2.0.0-9.fc8            installed       
eclipse-mylyn-bugzilla.i386              2.0.0-9.fc8            installed       
eclipse-mylyn-ide.i386                   2.0.0-9.fc8            installed       
eclipse-mylyn-java.i386                  2.0.0-9.fc8            installed       
eclipse-pde.i386                         1:3.3.0-31.fc8         installed       
eclipse-pde-runtime.i386                 1:3.3.0-31.fc8         installed       
eclipse-platform.i386                    1:3.3.0-31.fc8         installed       
eclipse-pydev.i386                       1:1.3.17-1.fc8         installed       
eclipse-rcp.i386                         1:3.3.0-31.fc8         installed       
eclipse-rpm-editor.i386                  0.4.0-3.fc8            installed       
eclipse-subclipse.i386                   1.2.4-5.fc8            installed       
ed.i386                                  0.8-1.fc8              installed       
eel2.i386                                2.20.0-1.fc8           installed       
eel2-devel.i386                          2.20.0-1.fc8           installed       
eject.i386                               2.1.5-8.fc8            installed       
ekiga.i386                               2.0.11-2.fc8           installed       
elfutils.i386                            0.135-1.fc8            installed       
elfutils-libelf.i386                     0.135-1.fc8            installed       
elfutils-libelf-devel.i386               0.135-1.fc8            installed       
elfutils-libs.i386                       0.135-1.fc8            installed       
elinks.i386                              0.11.3-6.fc8           installed       
emacs-common.i386                        22.1-11.fc8            installed       
enchant.i386                             1:1.3.0-1.fc6          installed       
enscript.i386                            1.6.4-8.fc8            installed       
eog.i386                                 2.20.4-1.fc8           installed       
esound-devel.i386                        1:0.2.38-6.fc8         installed       
esound-libs.i386                         1:0.2.38-6.fc8         installed       
ethtool.i386                             5-1.fc7                installed       
evince.i386                              2.20.2-1.fc8           installed       
evolution.i386                           2.12.3-5.fc8           installed       
evolution-data-server.i386               1.12.3-6.fc8           installed       
evolution-data-server-devel.i386         1.12.3-6.fc8           installed       
evolution-help.i386                      2.12.3-5.fc8           installed       
evolution-webcal.i386                    2.12.0-1.fc8           installed       
exempi.i386                              1.99.4-2.fc8           installed       
expat.i386                               2.0.1-2                installed       
expat-devel.i386                         2.0.1-2                installed       
f-spot.i386                              0.4.3.1-1.fc8          installed       
fakeroot.i386                            1.6.4-15.fc7           installed       
fast-user-switch-applet.i386             2.20.0-1.fc8           installed       
fbset.i386                               2.1-24.fc7             installed       
fedora-bookmarks.noarch                  8-1                    installed       
fedora-gnome-theme.noarch                8.0.0-2.fc8            installed       
fedora-icon-theme.noarch                 1.0.0-1.fc8            installed       
fedora-logos.noarch                      8.0.3-1.fc8            installed       
fedora-release.noarch                    8-5                    installed       
fedora-release-notes.noarch              8.0.1-1                installed       
fedora-screensaver-theme.noarch          1.0.0-1.fc8            installed       
fedora-usermgmt.noarch                   0.10-1.fc8             installed       
fedora-usermgmt-core.noarch              0.10-1.fc8             installed       
fedora-usermgmt-default-fedora-setup.noa 0.10-1.fc8             installed       
fedora-usermgmt-shadow-utils.noarch      0.10-1.fc8             installed       
fedorainfinity-gdm-theme.noarch          8.0.1-1.fc8            installed       
fedorainfinity-screensaver-theme.noarch  1.0.0-1.fc8            installed       
festival.i386                            1.96-1.fc7             installed       
festival-lib.i386                        1.96-1.fc7             installed       
festival-speechtools-libs.i386           1.2.96-1.fc7           installed       
festvox-slt-arctic-hts.i386              0.20061229-1.fc7       installed       
fetchmail.i386                           6.3.8-4.fc8            installed       
file.i386                                4.21-5.fc8             installed       
file-libs.i386                           4.21-5.fc8             installed       
file-roller.i386                         2.20.3-1.fc8           installed       
filesystem.i386                          2.4.11-1.fc8           installed       
findutils.i386                           1:4.2.31-2.fc8         installed       
finger.i386                              0.17-35.fc8            installed       
firefox.i386                             2.0.0.16-1.fc8         installed       
firefox-devel.i386                       2.0.0.16-1.fc8         installed       
firstboot.noarch                         1.4.39-1.fc8           installed       
firstboot-tui.noarch                     1.4.39-1.fc8           installed       
flac.i386                                1.2.1-1.fc8            installed       
flex.i386                                2.5.33-14.fc8          installed       
fontconfig.i386                          2.4.2-5.fc8            installed       
fontconfig-devel.i386                    2.4.2-5.fc8            installed       
foomatic.i386                            3.0.2-59.fc8           installed       
freetype.i386                            2.3.5-4.fc8            installed       
freetype-devel.i386                      2.3.5-4.fc8            installed       
frysk.i386                               0.4-0.fc8              installed       
ftp.i386                                 0.17-43.fc8            installed       
fuse-libs.i386                           2.7.3-3.fc8            installed       
gail.i386                                1.20.2-1.fc8           installed       
gail-devel.i386                          1.20.2-1.fc8           installed       
gamin.i386                               0.1.9-4.fc8            installed       
gamin-python.i386                        0.1.9-4.fc8            installed       
ganymed-ssh2.i386                        210-5.fc8              installed       
gawk.i386                                3.1.5-15.fc7           installed       
gcalctool.i386                           5.20.2-1.fc8           installed       
gcc.i386                                 4.1.2-33               installed       
gcc-c++.i386                             4.1.2-33               installed       
gcc-gfortran.i386                        4.1.2-33               installed       
gcc-java.i386                            4.1.2-33               installed       
gd.i386                                  2.0.35-3.fc8           installed       
gd-devel.i386                            2.0.35-3.fc8           installed       
gdb.i386                                 6.6-45.fc8             installed       
gdbm.i386                                1.8.0-27.fc7           installed       
gdbm-devel.i386                          1.8.0-27.fc7           installed       
gdm.i386                                 1:2.20.5-3.fc8         installed       
gedit.i386                               1:2.20.4-1.fc8         installed       
genisoimage.i386                         1.1.6-6.fc8            installed       
geronimo-specs.i386                      1.0-0.M2.2jpp.12       installed       
geronimo-specs-compat.i386               1.0-0.M2.2jpp.12       installed       
gettext.i386                             0.16.1-12.fc8          installed       
gfs2-utils.i386                          2.03.00-3.fc8          installed       
ghostscript.i386                         8.61-8.fc8             installed       
ghostscript-devel.i386                   8.61-8.fc8             installed       
ghostscript-fonts.noarch                 5.50-18.fc8            installed       
giflib.i386                              4.1.3-8                installed       
giflib-devel.i386                        4.1.3-8                installed       
gimp.i386                                2:2.4.6-1.fc8          installed       
gimp-help.noarch                         2.4.0-1.fc8            installed       
gimp-libs.i386                           2:2.4.6-1.fc8          installed       
glade2.i386                              2.12.1-10.fc8          installed       
glib2.i386                               2.14.6-2.fc8           installed       
glib2-devel.i386                         2.14.6-2.fc8           installed       
glibc.i686                               2.7-2                  installed       
glibc-common.i386                        2.7-2                  installed       
glibc-devel.i386                         2.7-2                  installed       
glibc-headers.i386                       2.7-2                  installed       
glibmm24.i386                            2.14.2-1.fc8           installed       
glx-utils.i386                           7.0.2-3.fc8            installed       
gmime.i386                               2.2.10-5.fc8           installed       
gmime-sharp.i386                         2.2.10-5.fc8           installed       
gmp.i386                                 4.2.2-4.fc8            installed       
gmp-devel.i386                           4.2.2-4.fc8            installed       
gnokii.i386                              0.6.22-1.fc8           installed       
gnome-applets.i386                       1:2.20.1-1.fc8         installed       
gnome-audio.noarch                       2.0.0-4                installed       
gnome-backgrounds.noarch                 2.20.0-1.fc8           installed       
gnome-bluetooth.i386                     0.10.0-1.fc8           installed       
gnome-bluetooth-libs.i386                0.10.0-1.fc8           installed       
gnome-desktop.i386                       2.20.3-1.fc8           installed       
gnome-desktop-devel.i386                 2.20.3-1.fc8           installed       
gnome-doc-utils.noarch                   0.12.0-1.fc8           installed       
gnome-doc-utils-stylesheets.noarch       0.12.0-1.fc8           installed       
gnome-icon-theme.noarch                  2.20.0-2.fc8           installed       
gnome-keyring.i386                       2.20.3-1.fc8           installed       
gnome-keyring-devel.i386                 2.20.3-1.fc8           installed       
gnome-keyring-pam.i386                   2.20.3-1.fc8           installed       
gnome-mag.i386                           0.14.10-1.fc8          installed       
gnome-media.i386                         2.20.1-3.fc8           installed       
gnome-menus.i386                         2.20.3-1.fc8           installed       
gnome-mime-data.noarch                   2.18.0-2.fc7           installed       
gnome-mount.i386                         0.7-1.fc8              installed       
gnome-netstatus.i386                     2.12.1-1.fc7           installed       
gnome-panel.i386                         2.20.3-1.fc8           installed       
gnome-panel-devel.i386                   2.20.3-1.fc8           installed       
gnome-phone-manager.i386                 0.40-2.fc8             installed       
gnome-pilot.i386                         2.0.15-10.fc8          installed       
gnome-pilot-devel.i386                   2.0.15-10.fc8          installed       
gnome-power-manager.i386                 2.20.0-6.fc8           installed       
gnome-python2.i386                       2.20.1-1.fc8           installed       
gnome-python2-applet.i386                2.20.0-1.fc8           installed       
gnome-python2-bonobo.i386                2.20.1-1.fc8           installed       
gnome-python2-canvas.i386                2.20.1-1.fc8           installed       
gnome-python2-desktop.i386               2.20.0-1.fc8           installed       
gnome-python2-extras.i386                2.19.1-16.fc8          installed       
gnome-python2-gconf.i386                 2.20.1-1.fc8           installed       
gnome-python2-gnomevfs.i386              2.20.1-1.fc8           installed       
gnome-python2-gtkhtml2.i386              2.19.1-16.fc8          installed       
gnome-python2-libegg.i386                2.19.1-16.fc8          installed       
gnome-screensaver.i386                   2.20.0-12.fc8          installed       
gnome-session.i386                       2.20.3-1.fc8           installed       
gnome-sharp.i386                         2.16.0-5.fc8           installed       
gnome-speech.i386                        0.4.16-2.fc8           installed       
gnome-spell.i386                         1.0.8-1.fc8            installed       
gnome-system-monitor.i386                2.20.2-1.fc8           installed       
gnome-terminal.i386                      2.18.4-1.fc8           installed       
gnome-themes.noarch                      2.20.2-1.fc8           installed       
gnome-user-docs.noarch                   2.20.1-1.fc8           installed       
gnome-user-share.i386                    0.11-9.fc8             installed       
gnome-utils.i386                         1:2.20.0.1-3.fc8       installed       
gnome-vfs2.i386                          2.20.1-1.fc8           installed       
gnome-vfs2-devel.i386                    2.20.1-1.fc8           installed       
gnome-vfs2-obexftp.i386                  0.4-2.fc8              installed       
gnome-vfs2-smb.i386                      2.20.1-1.fc8           installed       
gnome-volume-manager.i386                2.17.0-8.fc8           installed       
gnu-getopt.i386                          1.0.12-3jpp.1          installed       
gnu-getopt-javadoc.i386                  1.0.12-3jpp.1          installed       
gnu-regexp.noarch                        1.1.4-10jpp.3.fc8      installed       
gnupg.i386                               1.4.7-10.fc8           installed       
gnuplot.i386                             4.2.2-1.fc8            installed       
gnutls.i386                              1.6.3-4.fc8            installed       
gnutls-devel.i386                        1.6.3-4.fc8            installed       
gok.i386                                 1.3.7-1.fc8            installed       
gphoto2.i386                             2.4.0-4.fc8            installed       
gpm.i386                                 1.20.1-89.fc8          installed       
gpm-devel.i386                           1.20.1-89.fc8          installed       
graphviz.i386                            2.14.1-3.fc8           installed       
graphviz-ruby.i386                       2.14.1-3.fc8           installed       
grep.i386                                2.5.1-57.fc7           installed       
groff.i386                               1.18.1.4-11.fc8        installed       
groff-perl.i386                          1.18.1.4-11.fc8        installed       
grub.i386                                0.97-33.1.fc8          installed       
gsl.i386                                 1.10-5.fc8             installed       
gsl-devel.i386                           1.10-5.fc8             installed       
gsm.i386                                 1.0.12-5.fc8           installed       
gstreamer.i386                           0.10.15-1.fc8          installed       
gstreamer-plugins-base.i386              0.10.15-4.fc8          installed       
gstreamer-plugins-good.i386              0.10.6-7.fc8           installed       
gstreamer-plugins-pulse.i386             0.9.5-0.4.svn20070924. installed       
gstreamer-python.i386                    0.10.11-1.fc8          installed       
gstreamer-tools.i386                     0.10.15-1.fc8          installed       
gthumb.i386                              2.10.8-1.fc8           installed       
gtk-doc.noarch                           1.9-4.fc8              installed       
gtk-nodoka-engine.i386                   0.6.2-1.fc8            installed       
