Installed Packages
perl-Archive-Zip.noarch                  1.20-3.fc8             installed       
perl-BSD-Resource.i386                   1.28-3.fc8             installed       
perl-Class-Singleton.noarch              1.4-1.fc8              installed       
perl-Compress-Raw-Zlib.i386              2.005-3.fc8            installed       
perl-Compress-Zlib.noarch                2.005-2.fc8            installed       
perl-Convert-ASN1.noarch                 0.21-2.fc8.1           installed       
perl-DBD-MySQL.i386                      4.005-2.fc8.1          installed       
perl-DBI.i386                            1.58-2.fc8             installed       
perl-DateTime.i386                       1:0.41-1.fc8           installed       
perl-DateTime-Format-Mail.noarch         0.30-4.fc6             installed       
perl-DateTime-Format-W3CDTF.noarch       0.04-2.fc7             installed       
perl-ExtUtils-Embed.i386                 1.26-40.fc8            installed       
perl-ExtUtils-MakeMaker.i386             6.30-40.fc8            installed       
perl-File-RsyncP.i386                    0.68-2.fc8.1           installed       
perl-HTML-Parser.i386                    3.56-2.fc8             installed       
perl-HTML-Tagset.noarch                  3.10-6.fc8             installed       
perl-IO-Compress-Base.noarch             2.005-2.fc8            installed       
perl-IO-Compress-Zlib.noarch             2.005-2.fc8            installed       
perl-Net-Telnet.noarch                   3.03-5.1               installed       
perl-Newt.i386                           1.08-21.fc8            installed       
perl-Params-Validate.i386                0.91-1.fc8             installed       
perl-SGMLSpm.noarch                      1.03ii-16.2.1          installed       
perl-String-CRC32.i386                   1.4-3.fc8              installed       
perl-Test-Harness.i386                   2.56-40.fc8            installed       
perl-Time-modules.noarch                 2003.1126-4.fc8.1      installed       
perl-URI.noarch                          1.35-3.1               installed       
perl-XML-Parser.i386                     2.34-8                 installed       
perl-XML-RSS.noarch                      1.31-1.fc8             installed       
perl-devel.i386                          4:5.8.8-40.fc8         installed       
perl-libs.i386                           4:5.8.8-40.fc8         installed       
perl-libwww-perl.noarch                  5.808-3.fc8            installed       
perl-suidperl.i386                       4:5.8.8-40.fc8         installed       
php.i386                                 5.2.6-2.fc8            installed       
php-cli.i386                             5.2.6-2.fc8            installed       
php-common.i386                          5.2.6-2.fc8            installed       
php-ldap.i386                            5.2.6-2.fc8            installed       
php-mysql.i386                           5.2.6-2.fc8            installed       
php-pdo.i386                             5.2.6-2.fc8            installed       
pidgin.i386                              2.4.3-1.fc8            installed       
pilot-link.i386                          2:0.12.2-21.fc8        installed       
pilot-link-devel.i386                    2:0.12.2-21.fc8        installed       
pinfo.i386                               0.6.9-5.fc8            installed       
pirut.noarch                             1.3.31-1.fc8           installed       
pixman.i386                              0.9.6-1.fc8            installed       
pixman-devel.i386                        0.9.6-1.fc8            installed       
pkgconfig.i386                           1:0.22-4.fc8           installed       
planner.i386                             0.14.2-9.fc8           installed       
plexus-ant-factory.i386                  1.0-0.1.a1.2jpp.5.fc8  installed       
plexus-archiver.i386                     1.0-0.1.a6.1jpp.1.fc7  installed       
plexus-bsh-factory.i386                  1.0-0.1.a7s.2jpp.5.fc8 installed       
plexus-compiler.noarch                   1.5.2-2jpp.2.fc7       installed       
plexus-container-default.noarch          1.0-0.1.a8.1jpp.1.fc7  installed       
plexus-i18n.noarch                       1.0-0.b6.3jpp.1.fc7    installed       
plexus-interactivity.noarch              1.0-0.1.a5.2jpp.2.fc7  installed       
plexus-utils.noarch                      1.2-2jpp.1.fc7         installed       
plexus-velocity.i386                     1.1.2-2jpp.1.fc7       installed       
pm-utils.i386                            0.99.4-19.fc8          installed       
pmd.noarch                               3.6-1jpp.3.fc7         installed       
policycoreutils.i386                     2.0.33-3.fc8           installed       
policycoreutils-gui.i386                 2.0.33-3.fc8           installed       
poppler.i386                             0.6.2-1.fc8            installed       
popt.i386                                1.13-4.fc8             installed       
popt-devel.i386                          1.13-4.fc8             installed       
postgresql-libs.i386                     8.2.9-1.fc8            installed       
ppp.i386                                 2.4.4-2                installed       
prelink.i386                             0.4.0-1                installed       
procmail.i386                            3.22-20.fc8            installed       
procps.i386                              3.2.7-17.fc8           installed       
psacct.i386                              6.3.2-48.fc8           installed       
psmisc.i386                              22.6-2.1.fc8           installed       
pstack.i386                              1.2-7.2.2              installed       
psutils.i386                             1.17-27.fc8            installed       
pulseaudio.i386                          0.9.8-5.fc8            installed       
pulseaudio-core-libs.i386                0.9.8-5.fc8            installed       
pulseaudio-esound-compat.i386            0.9.8-5.fc8            installed       
pulseaudio-libs.i386                     0.9.8-5.fc8            installed       
pulseaudio-libs-glib2.i386               0.9.8-5.fc8            installed       
pulseaudio-module-gconf.i386             0.9.8-5.fc8            installed       
pulseaudio-module-x11.i386               0.9.8-5.fc8            installed       
pulseaudio-utils.i386                    0.9.8-5.fc8            installed       
puretls-javadoc.i386                     0.9-0.b5.4jpp.1        installed       
pwlib.i386                               1.10.10-2.fc8          installed       
pycairo.i386                             1.4.12-2.fc8           installed       
pycairo-devel.i386                       1.4.12-2.fc8           installed       
pygobject2.i386                          2.14.0-1.fc8           installed       
pygobject2-devel.i386                    2.14.0-1.fc8           installed       
pygobject2-doc.i386                      2.14.0-1.fc8           installed       
pygtk2.i386                              2.12.0-2.fc8           installed       
pygtk2-codegen.i386                      2.12.0-2.fc8           installed       
pygtk2-devel.i386                        2.12.0-2.fc8           installed       
pygtk2-libglade.i386                     2.12.0-2.fc8           installed       
pygtksourceview.i386                     2.0.0-1.fc8            installed       
pyorbit.i386                             2.14.3-1.fc8           installed       
python.i386                              2.5.1-26.fc8.2         installed       
python-crypto.i386                       2.0.1-9.1              installed       
python-devel.i386                        2.5.1-26.fc8.2         installed       
python-genshi.i386                       0.5-1.fc8              installed       
python-imaging.i386                      1.1.6-4.fc8            installed       
python-iniparse.noarch                   0.2.3-3.fc8            installed       
python-ldap.i386                         2.3.1-1.fc8            installed       
python-libs.i386                         2.5.1-26.fc8.2         installed       
python-numeric.i386                      24.2-6.fc8             installed       
python-paste.noarch                      1.6-1.fc8              installed       
python-reportlab.noarch                  2.1-1.fc8              installed       
python-sexy.i386                         0.1.9-3.fc7            installed       
python-urlgrabber.noarch                 3.0.0-9.fc8            installed       
pyxdg.noarch                             0.15-5.fc8.1           installed       
pyxf86config.i386                        0.3.34-1.fc8           installed       
qdbm.i386                                1.8.77-3.fc8           installed       
qdox.noarch                              1.5-2jpp.1.fc7         installed       
qemu.i386                                0.9.0-7.fc8            installed       
ql2100-firmware.noarch                   1.19.38-1.fc8.1        installed       
ql2200-firmware.noarch                   2.02.08-1.fc8.1        installed       
ql23xx-firmware.noarch                   3.03.20-1.fc8.1        installed       
ql2400-firmware.noarch                   4.00.27-1.fc8.1        installed       
qt.i386                                  1:3.3.8b-2.fc8         installed       
qt-MySQL.i386                            1:3.3.8b-2.fc8         installed       
quota.i386                               1:3.14-1.fc7           installed       
radeontool.i386                          1.5-2.fc8              installed       
rarian.i386                              0.6.0-3.fc8            installed       
rarian-compat.i386                       0.6.0-3.fc8            installed       
rcs.i386                                 5.7-31                 installed       
rdate.i386                               1.4-9.fc8              installed       
rdist.i386                               1:6.1.5-44             installed       
readline.i386                            5.2-10.fc8             installed       
readline-devel.i386                      5.2-10.fc8             installed       
redhat-lsb.i386                          3.1-19.fc8             installed       
redhat-menus.noarch                      8.9.11-2.fc8           installed       
redhat-rpm-config.noarch                 9.0.1-1.fc8            installed       
regexp.i386                              1.4-3jpp.1.fc7         installed       
regexp-javadoc.i386                      1.4-3jpp.1.fc7         installed       
relaxngDatatype.noarch                   1.0-3jpp.1.fc7         installed       
rgmanager.i386                           2.0.23-2.fc7           installed       
rhgb.i386                                1:0.17.7-4.fc8         installed       
rhino.noarch                             1.6-0.1.r5.1jpp.2.fc7  installed       
rhpl.i386                                0.210-1                installed       
rhpxl.i386                               0.49-2.fc8             installed       
rhythmbox.i386                           0.11.3-11.fc8          installed       
rmt.i386                                 0.4b41-6.fc8           installed       
rng-utils.i386                           1:2.0-1.14.1.fc6       installed       
rootfiles.noarch                         8.1-1.1.1              installed       
rp-pppoe.i386                            3.8-1.fc7              installed       
rpcbind.i386                             0.1.4-13.fc8           installed       
rpm.i386                                 4.4.2.2-7.fc8          installed       
rpm-build.i386                           4.4.2.2-7.fc8          installed       
rpm-devel.i386                           4.4.2.2-7.fc8          installed       
rpm-libs.i386                            4.4.2.2-7.fc8          installed       
rpm-python.i386                          4.4.2.2-7.fc8          installed       
rpmdevtools.noarch                       6.4-1.fc8              installed       
rpmlint.noarch                           0.83-1.fc8             installed       
rrdtool.i386                             1.3.0-1.fc8            installed       
rrdtool-ruby.i386                        1.3.0-1.fc8            installed       
rsh.i386                                 0.17-44.fc8            installed       
rsync.i386                               2.6.9-5.fc8            installed       
rsyslog.i386                             2.0.2-3.fc8            installed       
rt61pci-firmware.noarch                  1.2-4                  installed       
rt73usb-firmware.noarch                  1.8-4                  installed       
ruby.i386                                1.8.6.230-4.fc8        installed       
ruby-RMagick.i386                        2.5.2-1.fc8            installed       
ruby-RMagick-doc.i386                    2.5.2-1.fc8            installed       
ruby-activerecord.noarch                 2.0.1-1.fc8            installed       
ruby-activesupport.noarch                2.0.1-1.fc8            installed       
ruby-amazon-doc.noarch                   0.9.2-3.fc7            installed       
ruby-atk.i386                            0.17.0-0.3.rc1.fc8     installed       
ruby-atk-devel.i386                      0.17.0-0.3.rc1.fc8     installed       
ruby-augeas.i386                         0.1.0-1.fc8            installed       
ruby-aws.noarch                          0.4.0-1.fc8            installed       
ruby-aws-doc.noarch                      0.4.0-1.fc8            installed       
ruby-bdb.i386                            0.6.0-1.fc7            installed       
ruby-bonobo2.i386                        0.17.0-0.3.rc1.fc8     installed       
ruby-bonoboui2.i386                      0.17.0-0.3.rc1.fc8     installed       
ruby-bsearch.noarch                      1.5-1.fc7              installed       
ruby-cairo.i386                          1.5.0-1.fc8            installed       
ruby-cairo-devel.i386                    1.5.0-1.fc8            installed       
ruby-clearsilver.i386                    0.10.4-5.fc8           installed       
ruby-devel.i386                          1.8.6.230-4.fc8        installed       
ruby-docs.i386                           1.8.6.230-4.fc8        installed       
ruby-fam.i386                            0.2.0-5.fc8            installed       
ruby-flexmock.noarch                     0.7.1-3.fc8            installed       
ruby-gconf2.i386                         0.17.0-0.3.rc1.fc8     installed       
ruby-gdkpixbuf2.i386                     0.17.0-0.3.rc1.fc8     installed       
ruby-gettext-package.noarch              1.91.0-1.fc8           installed       
ruby-gettext-package-doc.noarch          1.91.0-1.fc8           installed       
ruby-glib2.i386                          0.17.0-0.3.rc1.fc8     installed       
ruby-glib2-devel.i386                    0.17.0-0.3.rc1.fc8     installed       
ruby-gnome2.i386                         0.17.0-0.3.rc1.fc8     installed       
ruby-gnomecanvas2.i386                   0.17.0-0.3.rc1.fc8     installed       
ruby-gnomeprint2.i386                    0.17.0-0.3.rc1.fc8     installed       
ruby-gnomeprintui2.i386                  0.17.0-0.3.rc1.fc8     installed       
ruby-gnomevfs.i386                       0.17.0-0.3.rc1.fc8     installed       
ruby-gstreamer.i386                      0.17.0-0.3.rc1.fc8     installed       
ruby-gtk2.i386                           0.17.0-0.3.rc1.fc8     installed       
ruby-gtk2-devel.i386                     0.17.0-0.3.rc1.fc8     installed       
ruby-gtkglext.i386                       0.17.0-0.3.rc1.fc8     installed       
ruby-gtkhtml2.i386                       0.17.0-0.3.rc1.fc8     installed       
ruby-gtkmozembed.i386                    0.17.0-0.3.rc1.fc8     installed       
ruby-gtksourceview.i386                  0.17.0-0.3.rc1.fc8     installed       
ruby-hpricot.i386                        0.6-1.fc8              installed       
ruby-hyperestraier.i386                  1.4.13-1.fc8           installed       
ruby-imagesize.noarch                    0.1.1-1.fc8            installed       
ruby-irb.i386                            1.8.6.230-4.fc8        installed       
ruby-ldap.i386                           0.9.7-3.fc8            installed       
ruby-libart2.i386                        0.17.0-0.3.rc1.fc8     installed       
ruby-libart2-devel.i386                  0.17.0-0.3.rc1.fc8     installed       
ruby-libglade2.i386                      0.17.0-0.3.rc1.fc8     installed       
ruby-libs.i386                           1.8.6.230-4.fc8        installed       
ruby-libvirt.i386                        0.0.7-1.fc8            installed       
ruby-marc.noarch                         0.2.0-1.fc8            installed       
ruby-mecab.i386                          0.97-1.fc8             installed       
ruby-mechanize.noarch                    0.7.7-1.fc8            installed       
ruby-mode.i386                           1.8.6.230-4.fc8        installed       
ruby-mysql.i386                          2.7.3-2.fc8            installed       
ruby-ncurses.i386                        1.1-5.fc8              installed       
ruby-obexftp.i386                        0.22-0.5.rc7.fc8       installed       
ruby-openid.noarch                       2.0.4-1.fc8            installed       
ruby-openid-doc.noarch                   2.0.4-1.fc8            installed       
ruby-panelapplet2.i386                   0.17.0-0.3.rc1.fc8     installed       
ruby-pango.i386                          0.17.0-0.3.rc1.fc8     installed       
ruby-pango-devel.i386                    0.17.0-0.3.rc1.fc8     installed       
ruby-poppler.i386                        0.17.0-0.3.rc1.fc8     installed       
ruby-postgres.i386                       0.7.1-7.fc8            installed       
ruby-qdbm.i386                           1.8.77-3.fc8           installed       
ruby-qpid.noarch                         0.1-1.fc7              installed       
ruby-racc.noarch                         1.4.5-2.fc6            installed       
ruby-rdoc.i386                           1.8.6.230-4.fc8        installed       
ruby-revolution.i386                     0.5-1.svn210.fc8       installed       
ruby-ri.i386                             1.8.6.230-4.fc8        installed       
ruby-romkan.noarch                       0.4-2.fc7              installed       
ruby-rsvg.i386                           0.17.0-0.3.rc1.fc8     installed       
ruby-shadow.i386                         1.4.1-10.fc8           installed       
ruby-sqlite3.i386                        1.2.1-1.fc8            installed       
ruby-taglib.noarch                       1.1-1.fc8              installed       
ruby-tcltk.i386                          1.8.6.230-4.fc8        installed       
ruby-vte.i386                            0.17.0-0.3.rc1.fc8     installed       
rubygem-actionmailer.noarch              2.0.2-2.fc8            installed       
rubygem-actionpack.noarch                2.0.2-2.fc8            installed       
rubygem-activeldap.noarch                1.0.1-1.fc8            installed       
rubygem-activerecord.noarch              2.0.2-2.fc8            installed       
rubygem-activeresource.noarch            2.0.2-2.fc8            installed       
rubygem-activesupport.noarch             2.0.2-1.fc8            installed       
rubygem-daemons.noarch                   1.0.7-2.fc8            installed       
rubygem-fastthread.i386                  1.0-1.fc8              installed       
rubygem-gem2rpm.noarch                   0.5.3-1.fc8            installed       
rubygem-gem_plugin.noarch                0.2.2-2.fc8            installed       
rubygem-hoe.noarch                       1.7.0-1.fc8            installed       
rubygem-krb5-auth.i386                   0.7-1.fc8              installed       
rubygem-mongrel.i386                     1.0.1-5.fc8            installed       
rubygem-rails.noarch                     2.0.2-2.fc8            installed       
rubygem-rake.noarch                      0.8.1-2.fc8            installed       
rubygem-rubyforge.noarch                 1.0.0-1.fc8            installed       
rubygem-zoom.i386                        0.4.1-2.fc8            installed       
rubygems.noarch                          0.9.4-1.fc8            installed       
rubyripper.noarch                        0.4.4-2.fc8            installed       
rubyripper-gui.noarch                    0.4.4-2.fc8            installed       
samba.i386                               3.0.30-0.fc8           installed       
samba-client.i386                        3.0.30-0.fc8           installed       
samba-common.i386                        3.0.30-0.fc8           installed       
sane-backends.i386                       1.0.18-17.fc8          installed       
sane-backends-libs.i386                  1.0.18-17.fc8          installed       
sazanami-fonts-gothic.noarch             0.20040629-4.20061016. installed       
screen.i386                              4.0.3-10.fc8           installed       
sed.i386                                 4.1.5-9.fc8            installed       
selinux-policy.noarch                    3.0.8-111.fc8          installed       
selinux-policy-devel.noarch              3.0.8-111.fc8          installed       
selinux-policy-targeted.noarch           3.0.8-111.fc8          installed       
sendmail.i386                            8.14.2-1.fc8           installed       
setroubleshoot.noarch                    2.0.5-2.fc8            installed       
setroubleshoot-plugins.noarch            2.0.4-4.fc8            installed       
setroubleshoot-server.noarch             2.0.5-2.fc8            installed       
setserial.i386                           2.17-21.fc8            installed       
setup.noarch                             2.6.10-1.fc8           installed       
setuptool.i386                           1.19.3-1.fc8           installed       
sg3_utils-libs.i386                      1.23-2.fc8             installed       
sgml-common.noarch                       0.6.3-21.fc8           installed       
shadow-utils.i386                        2:4.0.18.1-22.fc8      installed       
shared-mime-info.i386                    0.23-2.fc8             installed       
sinjdoc.i386                             0.5-4.fc7              installed       
slang.i386                               2.1.2-2.fc8            installed       
slang-devel.i386                         2.1.2-2.fc8            installed       
slrn.i386                                0.9.8.1pl1-5.20070716c installed       
smartmontools.i386                       1:5.38-1.fc8           installed       
smolt.noarch                             1.1.1.1-3.fc8          installed       
smolt-firstboot.noarch                   1.1.1.1-3.fc8          installed       
sound-juicer.i386                        2.20.1-1.fc8           installed       
sox.i386                                 13.0.0-3.fc8           installed       
specspo.noarch                           15-1                   installed       
speex.i386                               1.2-0.4.beta2          installed       
sqlite.i386                              3.4.2-3.fc8            installed       
sqlite-devel.i386                        3.4.2-3.fc8            installed       
squid.i386                               7:2.6.STABLE19-1.fc8   installed       
startup-notification.i386                0.9-3.fc8              installed       
startup-notification-devel.i386          0.9-3.fc8              installed       
stix-fonts.noarch                        0.9-5.fc8              installed       
strace.i386                              4.5.16-2.fc8           installed       
stunnel.i386                             4.24-0.fc8             installed       
subversion.i386                          1.4.4-7                installed       
subversion-javahl.i386                   1.4.4-7                installed       
subversion-ruby.i386                     1.4.4-7                installed       
sudo.i386                                1.6.9p4-6.fc8          installed       
svn2cl.noarch                            0.9-1.fc7              installed       
svnkit.i386                              1.1.4-2.fc8            installed       
swig.i386                                1.3.33-1.fc8           installed       
symlinks.i386                            1.2-30.fc8             installed       
synaptics.i386                           0.14.6-2.fc8           installed       
sysreport.noarch                         1.4.3-10               installed       
system-config-boot.i386                  0.2.17-1.fc8           installed       
system-config-cluster.noarch             1.0.29-1.0             installed       
system-config-date.noarch                1.9.32-1.fc8           installed       
system-config-display.noarch             1.0.51-4.fc8           installed       
system-config-firewall.noarch            1.0.12-4.fc8           installed       
system-config-firewall-tui.noarch        1.0.12-4.fc8           installed       
system-config-httpd.noarch               5:1.4.4-1.fc8          installed       
system-config-keyboard.noarch            1.2.11-3.fc8           installed       
system-config-language.noarch            1.2.12-1.fc8           installed       
system-config-lvm.noarch                 1.1.1-2.0.fc8          installed       
system-config-network.noarch             1.5.10-1.fc8           installed       
system-config-network-tui.noarch         1.5.10-1.fc8           installed       
system-config-nfs.noarch                 1.3.33-1.fc8           installed       
system-config-printer.i386               0.7.74.13-1.fc8        installed       
system-config-printer-libs.i386          0.7.74.13-1.fc8        installed       
system-config-rootpassword.noarch        1.1.10-4.fc8           installed       
system-config-samba.noarch               1.2.58-1.fc8           installed       
system-config-services.noarch            0.9.17-1.fc8           installed       
system-config-soundcard.noarch           2.0.6-11.fc8           installed       
system-config-users.noarch               1.2.72-1.fc8           installed       
systemtap.i386                           0.6.2-1.fc8            installed       
systemtap-runtime.i386                   0.6.2-1.fc8            installed       
sysvinit.i386                            2.86-18                installed       
taglib.i386                              1.5-1.fc8              installed       
talk.i386                                0.17-29.2.3            installed       
tar.i386                                 2:1.17-7.fc8           installed       
tcl.i386                                 1:8.4.17-1.fc8         installed       
tcp_wrappers.i386                        7.6-50.fc8             installed       
tcp_wrappers-libs.i386                   7.6-50.fc8             installed       
tcpdump.i386                             14:3.9.7-5.fc8         installed       
tcsh.i386                                6.15-1.fc8             installed       
telnet.i386                              1:0.17-41.fc8          installed       
tetex.i386                               3.0-44.9.fc8           installed       
tetex-dvips.i386                         3.0-44.9.fc8           installed       
tetex-fonts.i386                         3.0-44.9.fc8           installed       
tetex-latex.i386                         3.0-44.9.fc8           installed       
texinfo.i386                             4.11-5.fc8             installed       
texinfo-tex.i386                         4.11-5.fc8             installed       
time.i386                                1.7-30.fc8             installed       
tk.i386                                  1:8.4.17-2.fc8         installed       
tmpwatch.i386                            2.9.11-2               installed       
tomboy.i386                              0.8.2-1.fc8            installed       
tomcat5.i386                             5.5.26-1jpp.2.fc8      installed       
tomcat5-common-lib.i386                  5.5.26-1jpp.2.fc8      installed       
tomcat5-jasper.i386                      5.5.26-1jpp.2.fc8      installed       
tomcat5-jasper-eclipse.i386              5.5.26-1jpp.2.fc8      installed       
tomcat5-jsp-2.0-api.i386                 5.5.26-1jpp.2.fc8      installed       
tomcat5-server-lib.i386                  5.5.26-1jpp.2.fc8      installed       
tomcat5-servlet-2.4-api.i386             5.5.26-1jpp.2.fc8      installed       
totem.i386                               2.20.1-2.fc8           installed       
totem-mozplugin.i386                     2.20.1-2.fc8           installed       
totem-plparser.i386                      2.20.1-2.fc8           installed       
traceroute.i386                          3:2.0.10-1.fc8         installed       
transmission.i386                        1.11-1.fc8             installed       
tree.i386                                1.5.0-8.fc8            installed       
ttmkfdir.i386                            3.0.9-24.fc7           installed       
tzdata.noarch                            2008d-1.fc8            installed       
tzdata-java.noarch                       2008d-1.fc8            installed       
udev.i386                                118-1.fc8              installed       
units.i386                               1.86-7.fc8             installed       
unix2dos.i386                            2.2-29.fc8             installed       
unixODBC.i386                            2.2.12-5.fc8           installed       
unzip.i386                               5.52-6.fc8             installed       
urlview.i386                             0.9-3.fc8              installed       
urw-fonts.noarch                         2.4-3.fc8              installed       
usbutils.i386                            0.71-2.1               installed       
usermode.i386                            1.93.1-1.fc8           installed       
usermode-gtk.i386                        1.93.1-1.fc8           installed       
ustr.i386                                1.0.4-6.fc8            installed       
util-linux-ng.i386                       2.13.1-2.fc8           installed       
valgrind.i386                            1:3.2.3-7              installed       
vbetool.i386                             0.7-2.fc8              installed       
vconfig.i386                             1.9-4.fc8              installed       
velocity.i386                            1.4-6jpp.1             installed       
vim-common.i386                          2:7.1.245-1.fc8        installed       
vim-enhanced.i386                        2:7.1.245-1.fc8        installed       
vim-minimal.i386                         2:7.1.245-1.fc8        installed       
vino.i386                                2.20.1-1.fc8           installed       
vixie-cron.i386                          4:4.2-8.fc8            installed       
vnc.i386                                 4.1.2-24.fc8           installed       
vnc-libs.i386                            4.1.2-24.fc8           installed       
vorbis-tools.i386                        1:1.1.1.svn20070412-4. installed       
vpnc.i386                                0.5.1-2.fc8            installed       
vsftpd.i386                              2.0.5-20.fc8           installed       
vte.i386                                 0.16.9-1.fc8           installed       
wavpack.i386                             4.50-1.fc8             installed       
webalizer.i386                           2.01_10-34             installed       
werken-xpath.i386                        0.9.4-0.beta.12jpp.2   installed       
wget.i386                                1.10.2-16.fc8          installed       
which.i386                               2.16-8                 installed       
wireless-tools.i386                      1:29-0.2.pre22.fc8     installed       
wodim.i386                               1.1.6-6.fc8            installed       
words.noarch                             3.0-12.fc7             installed       
wpa_supplicant.i386                      1:0.5.10-5.fc8         installed       
ws-commons-util.i386                     1.0.1-6.fc8            installed       
ws-jaxme.noarch                          0.5.1-2jpp.1.fc7       installed       
wsdl4j.i386                              1.5.2-4jpp.2.fc8       installed       
wvdial.i386                              1.60-3.fc8             installed       
wxBase.i386                              2.8.7-2.fc8            installed       
wxGTK.i386                               2.8.7-2.fc8            installed       
xalan-j2.i386                            2.7.0-6jpp.1           installed       
xalan-j2-demo.i386                       2.7.0-6jpp.1           installed       
xalan-j2-javadoc.i386                    2.7.0-6jpp.1           installed       
xalan-j2-manual.i386                     2.7.0-6jpp.1           installed       
xalan-j2-xsltc.i386                      2.7.0-6jpp.1           installed       
xchat.i386                               1:2.8.4-11.fc8         installed       
xchat-ruby.i386                          1.2-5.fc8              installed       
xdelta.i386                              1.1.4-2.fc8            installed       
xdg-user-dirs.i386                       0.9-1.fc8              installed       
xdg-user-dirs-gtk.i386                   0.6-2.fc8              installed       
xdg-utils.noarch                         1.0.2-4.fc8            installed       
xen-libs.i386                            3.1.2-2.fc8            installed       
xerces-j2.i386                           2.7.1-7jpp.2           installed       
xerces-j2-demo.i386                      2.7.1-7jpp.2           installed       
xerces-j2-javadoc-apis.i386              2.7.1-7jpp.2           installed       
xerces-j2-javadoc-impl.i386              2.7.1-7jpp.2           installed       
xerces-j2-javadoc-other.i386             2.7.1-7jpp.2           installed       
xerces-j2-javadoc-xni.i386               2.7.1-7jpp.2           installed       
xerces-j2-scripts.i386                   2.7.1-7jpp.2           installed       
xhtml1-dtds.noarch                       1.0-7.1.1              installed       
xkeyboard-config.noarch                  1.1-3.fc8              installed       
xml-common.noarch                        0.6.3-21.fc8           installed       
xml-commons-apis.i386                    1.3.04-0jpp.1.fc8      installed       
xml-commons-apis-javadoc.i386            1.3.04-0jpp.1.fc8      installed       
xml-commons-apis-manual.i386             1.3.04-0jpp.1.fc8      installed       
xml-commons-apis12.i386                  1.2.04-0jpp.4.fc8      installed       
xml-commons-resolver.i386                1.1-1jpp.12            installed       
xml-commons-resolver-javadoc.i386        1.1-1jpp.12            installed       
xml-commons-which.i386                   1:1.0-0.b2.0jpp.2      installed       
xml-commons-which-javadoc.i386           1:1.0-0.b2.0jpp.2      installed       
xmldb-api.i386                           1:0.1-0.1.20011111cvs. installed       
xmldb-api-sdk.i386                       1:0.1-0.1.20011111cvs. installed       
xmlrpc3-client.i386                      3.0-1jpp.4.fc8         installed       
xmlrpc3-common.i386                      3.0-1jpp.4.fc8         installed       
xmltex.noarch                            20020625-8             installed       
xmlto.i386                               0.0.18-17              installed       
xom.noarch                               1.0-3jpp.4.fc7         installed       
xorg-x11-apps.i386                       7.3-1.fc8              installed       
xorg-x11-docs.noarch                     1.3-1.fc7              installed       
xorg-x11-drivers.i386                    7.2-9.fc8              installed       
xorg-x11-drv-acecad.i386                 1.1.0-5.fc8            installed       
xorg-x11-drv-aiptek.i386                 1.0.1-5.fc8            installed       
xorg-x11-drv-amd.i386                    2.7.7.7-2.fc8          installed       
xorg-x11-drv-apm.i386                    1.1.1-7.fc8            installed       
xorg-x11-drv-ark.i386                    0.6.0-6.fc8            installed       
xorg-x11-drv-ast.i386                    0.81.0-6.fc8           installed       
xorg-x11-drv-ati.i386                    6.8.0-4.fc8            installed       
xorg-x11-drv-avivo.i386                  0.0.1-6.fc8            installed       
xorg-x11-drv-calcomp.i386                1.1.0-4.fc8            installed       
xorg-x11-drv-chips.i386                  1.1.1-5.fc8            installed       
xorg-x11-drv-cirrus.i386                 1.1.0-5.fc8            installed       
xorg-x11-drv-citron.i386                 2.2.0-2.fc7            installed       
xorg-x11-drv-cyrix.i386                  1.1.0-5.fc8            installed       
xorg-x11-drv-digitaledge.i386            1.1.0-4.fc8            installed       
xorg-x11-drv-dmc.i386                    1.1.0-3.fc7            installed       
xorg-x11-drv-dummy.i386                  0.2.0-5.fc8            installed       
xorg-x11-drv-dynapro.i386                1.1.0-3.fc7            installed       
xorg-x11-drv-elographics.i386            1.1.0-4.fc8            installed       
xorg-x11-drv-evdev.i386                  1.1.2-5.fc8            installed       
xorg-x11-drv-fbdev.i386                  0.3.1-4.fc8            installed       
xorg-x11-drv-fpit.i386                   1.1.0-4.fc8            installed       
xorg-x11-drv-glint.i386                  1.1.1-7.fc8            installed       
xorg-x11-drv-hyperpen.i386               1.1.0-5.fc8            installed       
xorg-x11-drv-i128.i386                   1.2.1-1.fc8            installed       
xorg-x11-drv-i740.i386                   1.1.0-5.fc8            installed       
xorg-x11-drv-i810.i386                   2.1.1-7.fc8            installed       
xorg-x11-drv-jamstudio.i386              1.1.0-4.fc8            installed       
xorg-x11-drv-keyboard.i386               1.2.2-2.fc8            installed       
xorg-x11-drv-magellan.i386               1.1.0-4.fc8            installed       
xorg-x11-drv-magictouch.i386             1.0.0.5-5.fc8          installed       
xorg-x11-drv-mga.i386                    1.4.6.1-6.fc8          installed       
xorg-x11-drv-microtouch.i386             1.1.0-2.fc7            installed       
xorg-x11-drv-mouse.i386                  1.2.3-1.fc8            installed       
xorg-x11-drv-mutouch.i386                1.1.0-5.fc8            installed       
xorg-x11-drv-neomagic.i386               1.1.1-4.fc8            installed       
xorg-x11-drv-nouveau.i386                2.1.6-1.fc8            installed       
xorg-x11-drv-nsc.i386                    2.8.1-4.fc8            installed       
xorg-x11-drv-nv.i386                     2.1.6-1.fc8            installed       
xorg-x11-drv-palmax.i386                 1.1.0-4.fc8            installed       
xorg-x11-drv-penmount.i386               1.1.0-3.fc7            installed       
